cities_retrieved,lat,temp,humidity,clouds,windspeed
Yellowknife,62.45,59.0,93,75,8.05
Ushuaia,-54.81,33.8,80,40,21.92
Lahat,-3.78,78.92,74,0,5.5
Zhigansk,66.77,57.5,51,0,8.08
Kilosa,-6.84,69.65,77,44,1.59
Sao Felix do Xingu,-6.64,71.9,100,88,1.7
La Ronge,55.1,71.6,60,40,9.17
Albany,42.65,80.1,42,20,3.36
Hithadhoo,-0.6,83.42,100,20,9.98
Avarua,-21.21,69.8,83,20,4.7
Mogadishu,2.04,77.48,99,12,23.62
Rikitea,-23.12,73.97,100,80,16.13
Jamestown,-33.21,31.49,81,0,5.95
Kapaa,22.08,74.21,94,75,17.22
Te Anau,-45.41,39.32,85,56,8.08
Vaini,15.34,70.64,98,92,9.98
Jackville,5.21,80.6,83,75,11.41
Ponta do Sol,-20.63,75.77,51,24,4.61
Punta Arenas,-53.16,33.93,100,0,9.17
Puerto Ayora,-0.74,78.8,61,0,14.99
Lorengau,-2.02,78.2,100,88,4.05
Port Alfred,-33.59,55.43,100,92,14.12
Qaanaaq,77.48,34.55,98,88,0.58
Billings,45.79,75.2,60,1,5.82
Mollendo,-17.03,67.4,88,56,2.04
Arraial do Cabo,-22.97,74.28,69,0,11.41
Kamenka,53.19,77.3,50,80,5.39
Hobart,-42.88,44.6,93,75,6.93
Hilo,19.71,59.18,73,40,4.7
Saint-Pierre,48.95,85.19,32,0,6.93
Dwarka,28.58,82.4,94,40,9.19
Tasiilaq,65.61,46.4,75,75,4.7
Atar,20.52,113.0,11,8,18.34
New Norfolk,-42.78,44.6,93,75,6.93
Bathsheba,13.22,86.0,70,40,21.92
Busselton,-33.64,60.02,100,68,11.43
Faanui,-16.48,79.73,100,64,17.47
Port Moresby,-9.47,77.3,99,92,14.23
Nikolskoye,59.7,80.6,34,0,13.42
Husavik,50.56,78.38,70,0,7.07
Ambajogai,18.73,71.9,98,100,12.1
Muyezerskiy,63.93,79.82,29,20,3.04
San Isidro,16.74,74.15,94,88,2.59
Ribeira Grande,38.52,75.2,57,20,14.99
Cidreira,-30.17,63.89,88,0,4.05
Berlevag,70.86,48.96,81,75,5.82
Ilulissat,69.22,44.6,65,40,2.24
Dothan,31.22,86.77,66,40,3.36
Jinka,5.79,72.89,61,76,2.04
Lefka,39.1,87.8,48,20,10.29
Jalu,29.03,95.57,24,0,11.1
Lasa,34.92,84.83,74,20,13.87
Baykit,61.68,60.29,82,44,2.93
Dikson,73.51,42.02,94,92,19.04
Najran,17.54,100.4,9,20,13.87
Sitka,37.17,82.25,65,44,10.98
Castro,-42.48,50.03,100,92,3.04
Chuy,-33.69,57.23,91,24,9.75
Lata,30.78,61.55,100,32,0.92
Tuktoyaktuk,69.44,48.2,81,75,4.7
San Patricio,-26.98,68.39,68,20,3.15
Coihaique,-45.58,41.54,87,90,4.7
Georgetown,6.8,89.6,62,75,4.7
Hobyo,5.35,81.89,62,12,28.66
Waipawa,-39.94,41.57,92,64,2.93
Uppsala,59.86,79.25,39,44,6.93
Ketchikan,55.34,57.24,71,40,5.82
Butaritari,3.07,77.93,100,92,10.42
Chalus,36.66,87.8,79,20,11.41
Tibati,6.47,74.15,97,68,6.96
Kalmunai,7.42,85.13,60,32,10.2
Bredasdorp,-34.53,59.0,51,88,17.22
Lompoc,34.64,58.23,93,90,4.72
Mar del Plata,-46.43,38.78,100,92,5.5
Brownsville,25.91,86.85,62,20,12.75
Severo-Kurilsk,50.68,49.58,96,20,3.71
Fortuna,38.18,86.59,70,20,10.29
Salta,-24.79,61.36,47,0,3.36
Los Llanos de Aridane,28.66,75.2,64,20,11.41
Esperance,10.24,82.4,83,75,6.93
Saint-Philippe,45.36,77.92,50,1,3.36
Biak,-0.91,74.69,99,32,5.06
Souillac,45.6,84.0,28,0,2.24
Airai,-8.93,59.39,83,0,1.7
Cabo San Lucas,22.89,84.69,40,40,11.41
Ilhabela,-23.78,66.77,100,0,2.48
La Jutosa,15.63,82.17,89,75,2.24
Portland,45.52,70.54,60,20,4.7
Albanel,48.88,69.8,64,75,6.93
Pangnirtung,66.15,55.4,76,40,4.7
Upernavik,72.79,39.68,90,92,11.54
Atuona,-9.8,79.55,100,76,18.59
Nara,34.68,82.4,88,8,2.15
Schweinfurt,50.05,80.6,32,1,4.38
Marawi,8.0,67.67,99,88,2.48
Paita,-5.09,68.75,77,32,5.61
Caravelas,-17.73,74.42,100,80,9.19
Port Elizabeth,39.31,79.34,48,1,5.82
Mahebourg,-20.41,71.6,73,40,18.34
Adrar,27.87,118.4,9,0,6.93
Japura,-0.42,80.63,74,12,3.94
Santa Catalina,9.33,77.0,94,75,3.94
Nouadhibou,20.93,78.8,57,0,20.8
Abu Dhabi,24.47,97.74,63,0,6.93
Plettenberg Bay,-34.05,60.29,100,0,17.25
Cape Town,-33.93,55.4,71,75,2.24
Pirgos,35.12,86.0,62,20,17.22
Nakamura,35.17,78.8,83,75,4.7
Sao Joao da Barra,-21.64,75.2,60,75,5.82
Komsomolskiy,67.55,68.75,36,0,4.72
Turukhansk,65.8,57.14,51,0,17.02
Mataura,-46.19,36.62,77,80,7.63
Kruisfontein,-34.0,59.3,83,0,17.13
Chokurdakh,70.62,47.6,82,0,7.96
Hermanus,-34.42,50.03,85,88,7.18
Sao Filipe,14.9,77.48,92,0,12.77
Saldanha,41.42,87.47,32,0,8.41
Kitab,39.12,86.0,23,0,6.93
Puerto Varas,-41.32,51.8,100,75,6.93
Arlit,18.74,106.28,20,0,5.5
Nelson Bay,-32.72,46.4,65,32,14.99
Carnarvon,-30.97,42.83,64,0,6.73
Bluff,-23.58,45.17,61,0,8.19
Garden City,40.73,81.14,57,1,5.82
Beyneu,45.32,96.92,16,64,9.75
Dakar,14.69,82.4,69,40,6.93
Ahuimanu,21.44,74.71,78,40,8.05
Garowe,8.41,89.09,32,44,21.72
Nanortalik,60.14,38.69,100,8,4.05
Langsa,4.47,72.62,86,0,1.48
Ginir,7.14,73.25,55,80,6.96
Matay,28.42,96.74,29,0,10.98
Carira,-10.36,82.43,49,12,13.56
Bonfim,-20.33,73.4,56,20,4.7
East London,-33.02,53.6,87,90,16.11
Hirara,24.8,82.34,100,80,14.56
Hrubieszow,50.8,71.09,68,48,10.76
Khatanga,71.98,46.07,66,48,6.73
Haines Junction,60.75,44.27,95,64,2.59
Touros,-5.2,78.29,94,48,17.47
Port Lincoln,-34.72,51.02,100,0,18.59
Dingle,11.0,77.75,90,92,7.96
Torbay,47.66,60.8,55,75,11.41
Luderitz,-26.65,60.2,61,0,23.51
Lebu,8.96,58.67,82,88,3.15
Bull Savanna,17.89,88.1,56,0,4.94
Bassila,9.0,81.53,92,68,7.18
Avera,33.19,86.49,74,90,5.82
Bonthe,7.53,78.92,91,92,4.61
Tobermory,45.25,64.97,87,92,17.58
Wanaka,-44.7,22.4,84,68,2.48
Namibe,-15.19,70.37,98,0,9.98
Tessalit,20.2,111.14,12,32,7.63
Manono,-7.3,90.89,24,0,5.06
Hovd,63.83,61.54,68,0,16.11
College,64.86,51.75,76,1,3.36
Moose Factory,51.26,78.8,61,1,18.34
Qandala,11.47,93.05,39,8,5.39
Saint George,39.45,87.8,48,20,10.29
Mezen,65.85,73.07,55,0,2.93
Sindhnur,15.78,74.33,89,76,16.8
Narsaq,60.91,51.8,66,5,5.82
La Union,14.97,73.79,81,36,2.59
Hasaki,35.73,77.2,100,75,2.24
Inta,66.04,69.65,50,20,2.59
Batagay,67.65,52.73,75,24,4.38
Barrow,-38.31,56.15,53,92,7.07
Panguna,-6.32,75.77,90,80,3.04
Nizwa,22.93,99.8,22,92,2.04
Sisimiut,66.94,52.1,61,0,2.15
Grand Gaube,-20.01,71.6,73,40,18.34
Longyearbyen,78.22,41.0,80,75,8.05
Hojai,26.0,78.65,95,76,1.36
Tuatapere,-46.13,48.77,98,20,14.23
Zheleznodorozhnyy,55.75,76.1,47,0,6.71
Takaka,-40.86,47.42,100,92,2.71
Shitkino,56.37,63.53,86,12,2.37
Acolla,-11.73,38.69,60,0,3.6
Buraydah,26.33,113.0,13,0,3.36
Saskylakh,71.97,43.1,94,76,4.38
Sangamner,19.57,71.45,99,92,7.18
Palana,59.08,49.85,84,32,3.15
Evensk,61.92,47.78,100,92,5.73
Ancud,-41.87,50.93,100,92,3.49
Pucallpa,-8.38,78.8,78,75,2.59
The Valley,18.22,86.07,66,75,18.34
Chirongui,-12.93,75.2,78,0,5.82
Thompson,55.74,75.2,60,20,3.36
Geraldton,49.72,75.2,64,40,10.29
Kodiak,39.95,84.2,70,1,10.29
Kaitangata,-46.28,32.3,63,36,3.94
Khilok,51.36,58.67,86,100,8.08
Pervomayskoye,57.07,78.02,45,32,8.19
Klyuchi,52.25,77.93,54,56,2.93
Codrington,-28.95,38.78,70,0,4.5
Tulum,20.21,87.8,70,75,5.82
Tieling,42.29,72.17,100,92,8.97
Santa Rita,10.21,73.88,97,92,3.04
Emerald,-23.53,46.34,63,0,10.2
Lima,-12.06,66.14,67,0,1.92
Tucurui,-3.77,91.43,50,0,3.04
Cherskiy,68.75,39.05,88,32,7.63
Pervomayskiy,53.24,81.8,35,48,7.63
Calabozo,8.92,76.94,97,64,4.94
Margate,-43.03,44.6,93,75,6.93
Kavieng,-2.57,79.1,100,76,5.5
Kingaroy,-26.54,36.8,89,0,10.09
Comodoro Rivadavia,-45.87,50.0,71,40,5.95
Ormara,25.21,83.33,91,0,12.1
Aquiraz,-3.9,86.0,58,20,16.11
Riyadh,24.63,107.6,6,20,17.22
Coronado,8.53,87.8,74,20,6.93
Umm Kaddadah,13.6,93.32,35,0,4.5
Salalah,17.01,82.4,83,90,8.05
Tiksi,71.64,40.49,95,92,20.04
Shar,7.3,84.32,73,24,14.12
Kashan,33.99,98.63,7,0,7.18
Honiara,-9.43,77.0,88,40,4.7
Bilma,18.69,105.47,16,0,4.61
Muzhi,65.4,66.05,53,0,6.51
Qingdao,36.09,78.8,88,40,8.95
Vardo,39.62,79.05,48,1,4.7
Hami,42.84,81.89,28,36,7.96
Adendorf,47.11,78.06,41,36,5.82
Hamilton,43.26,80.96,47,75,9.17
Ashqelon,31.67,84.2,66,40,11.41
Namatanai,-3.66,81.8,100,36,9.75
Consett,54.85,65.79,68,40,5.82
Bubaque,11.28,82.4,78,40,9.17
Huarmey,-10.07,68.75,63,32,3.49
Olinda,-2.03,75.2,73,90,9.17
Sanmenxia,34.77,73.25,97,20,2.48
Loja,-4.0,58.85,68,48,2.93
Abonnema,4.71,73.43,100,92,4.5
Benemerito de las Americas,16.52,75.14,99,80,2.15
Sambava,-14.27,75.59,100,76,21.5
Verkhnyaya Inta,65.99,69.2,58,20,2.59
Ustye,58.76,70.19,90,8,5.73
Keshorai Patan,25.3,80.72,90,88,4.05
Ola,59.58,50.0,100,90,6.51
Kantunilkin,21.1,86.0,74,75,6.93
Yulara,-25.24,37.4,29,0,4.7
Klaksvik,62.23,51.8,100,90,11.41
Sassandra,4.95,76.58,100,92,7.4
Menongue,-14.66,74.6,23,0,3.38
Dudinka,69.41,58.04,32,0,10.98
